OBJECTID,Survey By,Date Audited,Type of Crosswalk,Width of Crosswalk,Cross Slope of Crosswalk,Crosswalk Paint Condition,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Asset ID,x,y
56,RL,6/20/2023 12:09:21 PM,L,10,2% - 5%,F,775d0891-79fd-48ea-9861-f32e35d4f8c3,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 1:24:33 PM,CRW-00525,1737634.39469589,668890.378486484
57,RL,6/19/2023 5:58:02 PM,T,13,<= 2%,P,fcf0c57d-d72a-46db-ba8f-35f634795e6a,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 1:24:33 PM,CRW-00512,1736866.00089148,669525.657727733
58,JoS,8/18/2023 6:27:01 PM,L,10,2% - 5%,G,91765fc4-72b7-45b7-8a50-66e1785a9e3a,ENORTON,8/21/2023 4:38:46 PM,ENORTON,7/15/2024 2:43:01 PM,CRW-01535,1734664.21428455,662001.11601831
59,JoS,8/9/2023 2:58:05 PM,L,8,2% - 5%,G,d20fa2ff-a968-409b-9f6a-97fcfca2880a,ENORTON,8/14/2023 6:03:25 PM,ENORTON,7/12/2024 1:32:03 PM,CRW-01365,1730879.46824513,659519.358514637
60,LW,8/30/2023 12:30:22 PM,L,10,2% - 5%,P,93f97b46-eef6-4d59-8f5e-08c465e7d545,ENORTON,9/6/2023 4:10:45 PM,ENORTON,9/6/2023 4:10:45 PM,CRW-01638,1744418.02187663,656182.266763642
61,SD,12/6/2023 3:25:35 PM,T,10,<= 2%,G,8d4fe9b9-f184-45c4-a9e2-2bccc76b5ba2,ENORTON,12/11/2023 6:52:58 PM,ENORTON,7/15/2024 1:05:51 PM,CRW-02025,1744437.71015747,669954.752998143
62,CW,6/22/2023 7:55:07 PM,L,10,<= 2%,G,94973e52-a3d2-4f0e-8665-c70ab75de79e,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 12:59:47 PM,CRW-00586,1736017.40711622,663644.970014066
63,LW,8/11/2023 1:30:09 PM,L,10,<= 2%,G,810127b6-e19a-403e-97e0-75e619c8a419,ENORTON,8/14/2023 6:03:25 PM,ENORTON,7/16/2024 3:38:21 PM,CRW-01417,1733525.58893713,663293.396242142
64,AD,7/10/2023 7:49:21 PM,L,10,<= 2%,P,ca1a2d1c-5e2d-478f-8b2c-6fab47dfd188,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/16/2024 4:59:06 PM,CRW-01007,1734731.9907238,653750.206995234
65,JE,6/20/2023 3:21:29 PM,L,9,2% - 5%,F,8ea6ec4c-7af7-4140-aba3-26622b384fc7,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 1:10:40 PM,CRW-00538,1737202.71937814,667093.469022557
66,JoS,8/16/2023 5:53:05 PM,L,6,> 5%,P,238b26b4-2110-4b20-abc0-908c4a2b762e,ENORTON,8/21/2023 4:38:46 PM,ENORTON,7/15/2024 2:49:09 PM,CRW-01495,1730866.70055413,660703.026422888
67,LW,8/17/2023 2:02:12 PM,L,10,<= 2%,P,b1e54c21-52d3-4f31-80e2-b92df8f58081,ENORTON,8/21/2023 4:38:46 PM,ENORTON,7/15/2024 2:43:01 PM,CRW-01511,1743349.17886998,661756.209027812
68,LW,8/22/2023 1:18:01 PM,L,10,<= 2%,F,798786d9-5a7e-4391-8971-96710acf5bf4,ENORTON,8/28/2023 5:37:19 PM,ENORTON,7/11/2024 6:22:07 PM,CRW-01568,1742155.09562822,660334.001898482
69,LW,8/23/2023 2:03:00 PM,L,10,2% - 5%,G,2775c283-5883-435c-8840-aa331cb0cf05,ENORTON,8/28/2023 5:37:19 PM,ENORTON,7/15/2024 2:02:40 PM,CRW-01585,1746350.32017739,659563.715053231
70,SD,8/15/2023 5:06:08 PM,L,10,<= 2%,P,a63a283d-2bee-4759-a84f-575ff6649ef3,ENORTON,8/21/2023 4:38:46 PM,ENORTON,7/16/2024 3:33:04 PM,CRW-01473,1730782.60689031,657856.079360887
71,TR,8/30/2023 4:02:00 PM,L,10,2% - 5%,G,41fba760-d8fe-438e-a0ed-a133d1e2ffa9,ENORTON,9/6/2023 4:10:45 PM,ENORTON,9/6/2023 4:10:45 PM,CRW-01650,1742738.72044522,656938.820040554
72,SD,8/16/2023 12:32:13 PM,L,10,<= 2%,P,7ef4c875-6588-49e6-8d92-58fe1308af69,ENORTON,8/21/2023 4:38:46 PM,ENORTON,8/21/2023 4:38:46 PM,CRW-01482,1730771.65120356,658625.850459144
73,CW,5/30/2023 3:47:07 PM,L,10,<= 2%,P,2b03dfa9-c6a3-421e-b5d6-adc586fd5430,ENORTON,6/5/2023 11:20:39 PM,ENORTON,7/25/2024 2:25:53 PM,CRW-00241,1739419.71691264,667614.791470721
